1 总体功效
2 清洁
3 去污
4 护理
5 肌肤相关
6 衣物相关
7 总体成分/配方
8 椰油配方
9 原生菁萃
10 冲洗
11 质地
12 溶解性
13 泡沫
14 其他功效
15 健康
16 皂粉
17 洁白/增白/亮白
18 总体香味
19 产品特性
20 产品使用性
21 其他
22 打开包装时的香味
23 倒出时的香味
24 浸泡时的香味
25 洗衣时的香味
26 晾衣时的香味
27 洗后留在衣物上的香味
28 适用性
29 生产工艺
30 方便性
31 品牌
32 包装
33 整体评价
34 快递
35 价格
36 活动
37 动机
38 购物平台
39 质量
40 颜色
41 继续购买
42 生产日期
43 客服相关
